Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng
Orange,ESX0103,TQ5825083470,14.3,GSM,1800,27.8,32,,51.527455,0.281566
Orange,ESX0103,TQ5825083470,14.3,UMTS,2100,29.4,,65,51.527455,0.281566
Orange,ESX0104,TL4455001150,19,GSM,1800,31,32,,51.690008,0.091486
Orange,ESX0129,TQ5910091500,33.6,GSM,1800,26.9,32,,51.599367,0.297446
Orange,ESX0129,TQ5910091500,33.6,UMTS,2100,27.1,,65,51.599367,0.297446
Orange,ESX0200,TQ5906093760,17,GSM,1800,28.5,32,,51.619685,0.297894
Orange,ESX0200,TQ5906093760,17,UMTS,2100,28.5,,65,51.619685,0.297894
Orange,ESX0213,TQ5799080580,19,GSM,1800,25.9,32,,51.50156,0.276526
Orange,ESX0213,TQ5799080580,19,UMTS,2100,28.2,,65,51.50156,0.276526
Orange,ESX0214,TQ5810077800,12,GSM,1800,28.2,32,,51.47655,0.276864
Orange,ESX0214,TQ5810077800,12,UMTS,2100,29,,65,51.47655,0.276864
Orange,ESX0215,TQ5880082150,16.5,GSM,1800,24.5,32,,51.51544,0.288894
Orange,ESX0215,TQ5880082150,16.5,UMTS,2100,27,,65,51.51544,0.288894
Orange,ESX0219,TQ5782089860,21.2,GSM,1800,25.4,32,,51.584992,0.27824
Orange,ESX0236,TQ5714092930,24,GSM,1800,29.2,32,,51.612766,0.269808
Orange,ESX0236,TQ5714092930,24,UMTS,2100,28.7,,65,51.612766,0.269808
Orange,ESX0237,TQ5702096860,42,GSM,1800,26.4,32,,51.648112,0.269839
Orange,ESX0237,TQ5702096860,42,UMTS,2100,26.9,,65,51.648112,0.269839
Orange,ESX0252,TQ5555078290,21.5,GSM,1800,27.1,32,,51.48166,0.240387
Orange,ESX0252,TQ5555078290,21.5,UMTS,2100,28.2,,65,51.48166,0.240387
Orange,ESX0280,TQ5924096300,19,GSM,1800,28.6,32,,51.642456,0.301648
Orange,ESX0281,TQ5774099000,37,GSM,1800,26.4,32,,51.667139,0.281204
Orange,ESX0281,TQ5774099000,37,UMTS,2100,26.8,,65,51.667139,0.281204
Orange,ESX0282,TQ5870079390,14,GSM,1800,29,32,,51.490669,0.286212
Orange,ESX0282,TQ5870079390,14,UMTS,2100,28.8,,65,51.490669,0.286212
Orange,ESX0319,TQ4081093750,22,GSM,1800,25.9,32,,51.624458,0.034428
Orange,ESX0319,TQ4081093750,22,UMTS,2100,27.3,,65,51.624458,0.034428
Orange,ESX0337,TQ5648080650,16.5,GSM,1800,27,32,,51.502609,0.254817
Orange,ESX0337,TQ5648080650,16.5,UMTS,2100,26,,65,51.502609,0.254817
Orange,ESX0341,TQ5840099840,14,GSM,1800,25.2,32,,51.6745,0.291121
Orange,ESX0424,TQ5459780545,13,GSM,1800,29.4,32,,51.502184,0.22766
Orange,ESX0424,TQ5459780545,13,UMTS,2100,29.4,,65,51.502184,0.22766
Orange,ESX7027,TQ6011077730,8.5,GSM,1800,17.4,32,,51.475356,0.305754
Orange,ESX7029,TQ6061079270,7.2,GSM,1800,19.8,32,,51.489051,0.313649
Orange,ESX7043,TQ4450096500,15,GSM,1800,25,32,,51.648235,0.088839
Orange,ESX7043,TQ4450096500,15,UMTS,2100,21,,65,51.648235,0.088839
Orange,ESX7082,TQ4120097160,7,GSM,1800,18.4,32,,51.655004,0.041435
Orange,ESX7082,TQ4120097160,7,UMTS,2100,20.9,,65,51.655004,0.041435
Orange,ESX7095,TQ4240096800,5.8,GSM,1800,21.2,32,,51.651466,0.058626
Orange,ESX7096,TQ4413096240,3.5,GSM,1800,14.8,32,,51.645993,0.083387
Orange,ESX7098,TQ4538099080,10.5,GSM,1800,22.3,32,,51.671192,0.102624
Orange,ESX7109,TQ5495080000,9,GSM,1800,15.8,32,,51.49719,0.232503
Orange,ESX7109,TQ5495080000,9,UMTS,2100,17.7,,65,51.49719,0.232503
Orange,GLN0001,TQ3031081500,51.3,GSM,1800,31.4,32,,51.51689,-0.121729
Orange,GLN0001,TQ3031081500,51.3,UMTS,2100,29.3,,65,51.51689,-0.121729
Orange,GLN0002,TQ3207082300,34,GSM,1800,28,32,,51.523671,-0.096075
Orange,GLN0004,TQ2972078720,76.5,GSM,1800,32,32,,51.49204,-0.131251
Orange,GLN0004,TQ2972078720,76.5,UMTS,2100,29.9,,65,51.49204,-0.131251
Orange,GLN0005,TQ2897080770,32.5,GSM,1800,29.2,32,,51.510637,-0.1413
Orange,GLN0005,TQ2897080770,32.5,UMTS,2100,29.5,,65,51.510637,-0.1413
Orange,GLN0006,TQ2849082090,35,GSM,1800,31.5,32,,51.52261,-0.147732
Orange,GLN0006,TQ2849082090,35,UMTS,2100,29.9,,65,51.52261,-0.147732
Orange,GLN0010,TQ3375080950,52,GSM,1800,30.2,32,,51.511143,-0.072384
Orange,GLN0013,TQ3020075100,21,GSM,1800,28.3,32,,51.459394,-0.125674
Orange,GLN0019,TQ3448083790,58,GSM,1800,26.9,32,,51.536494,-0.060785
Orange,GLN0019,TQ3448083790,58,UMTS,2100,28.9,,65,51.536494,-0.060785
Orange,GLN0020,TQ3035085700,23.1,GSM,1800,30.1,32,,51.554629,-0.119597
Orange,GLN0020,TQ3035085700,23.1,UMTS,2100,30.4,,65,51.554629,-0.119597
Orange,GLN0021,TQ5825075200,22.1,GSM,1800,28.3,32,,51.453146,0.277858
Orange,GLN0021,TQ5825075200,22.1,UMTS,2100,28.8,,65,51.453146,0.277858
Orange,GLN0024,TQ3488082210,39.6,GSM,1800,29.4,32,,51.522198,-0.055626
Orange,GLN0024,TQ3488082210,39.6,UMTS,2100,30,,65,51.522198,-0.055626
Orange,GLN0026,TQ3560079960,41,GSM,1800,27.4,32,,51.501804,-0.046119
Orange,GLN0027,TQ3815075600,31,GSM,1800,30.4,32,,51.462003,-0.011105
Orange,GLN0028,TQ3392084420,56,GSM,1800,29.3,32,,51.542289,-0.068616
Orange,GLN0028,TQ3392084420,56,UMTS,2100,29.2,,65,51.542289,-0.068616
Orange,GLN0031,TQ3462085060,22.7,GSM,1800,28.9,32,,51.547874,-0.058282
Orange,GLN0031,TQ3462085060,22.7,UMTS,2100,28.7,,65,51.547874,-0.058282
Orange,GLN0032,TQ2757075530,25,GSM,1800,31.7,32,,51.463858,-0.163359
Orange,GLN0032,TQ2757075530,25,UMTS,2100,29.9,,65,51.463858,-0.163359
Orange,GLN0033,TQ2891085420,27.7,GSM,1800,25,32,,51.552443,-0.140461
Orange,GLN0033,TQ2891085420,27.7,UMTS,2100,28,,65,51.552443,-0.140461
Orange,GLN0035,TQ2720076850,44.5,GSM,1800,29,32,,51.475805,-0.168207
Orange,GLN0035,TQ2720076850,44.5,UMTS,2100,30,,65,51.475805,-0.168207
Orange,GLN0037,TQ3100086000,56,GSM,1800,27.6,32,,51.557174,-0.110114
Orange,GLN0039,TQ3237084640,36.2,GSM,1800,29,32,,51.544632,-0.090873
Orange,GLN0039,TQ3237084640,36.2,UMTS,2100,29.5,,65,51.544632,-0.090873
Orange,GLN0040,TQ2845087820,28.8,GSM,1800,30.2,32,,51.574119,-0.146216
Orange,GLN0040,TQ2845087820,28.8,UMTS,2100,29.7,,65,51.574119,-0.146216
Orange,GLN0041,TQ3044087620,52.5,GSM,1800,29,32,,51.571864,-0.117587
Orange,GLN0041,TQ3044087620,52.5,UMTS,2100,30.5,,65,51.571864,-0.117587
Orange,GLN0044,TQ3155083700,17.2,GSM,1800,29.6,32,,51.536375,-0.103044
Orange,GLN0044,TQ3155083700,17.2,UMTS,2100,29.4,,65,51.536375,-0.103044
Orange,GLN0047,TQ2398080550,32.5,GSM,1800,26.7,32,,51.509776,-0.213254
Orange,GLN0047,TQ2398080550,32.5,UMTS,2100,29,,65,51.509776,-0.213254
Orange,GLN0054,TQ3518075210,41,GSM,1800,29.3,32,,51.459215,-0.053985
Orange,GLN0054,TQ3518075210,41,UMTS,2100,29.4,,65,51.459215,-0.053985
Orange,GLN0055,TQ2679081470,39,GSM,1800,29.6,32,,51.517422,-0.172448
Orange,GLN0055,TQ2679081470,39,UMTS,2100,27.2,,65,51.517422,-0.172448
Orange,GLN0056,TQ2807088220,18.6,GSM,1800,27.3,32,,51.5778,-0.151551
Orange,GLN0056,TQ2807088220,18.6,UMTS,2100,27.4,,65,51.5778,-0.151551
Orange,GLN0057,TQ3670072100,45,GSM,1800,18,32,,51.4309,-0.033319
Orange,GLN0058,TQ4060072300,14,GSM,1800,27.8,32,,51.431743,0.022832
Orange,GLN0058,TQ4060072300,14,UMTS,2100,28.9,,65,51.431743,0.022832
Orange,GLN0059,TQ2560091270,20,GSM,1800,30.9,32,,51.605769,-0.18609
Orange,GLN0059,TQ2560091270,20,UMTS,2100,29.9,,65,51.605769,-0.18609
Orange,GLN0061,TQ1756084880,20,GSM,1800,29.9,32,,51.550069,-0.304286
Orange,GLN0061,TQ1756084880,20,UMTS,2100,28.1,,65,51.550069,-0.304286
Orange,GLN0062,TQ3488069880,51,GSM,1800,31.1,32,,51.411384,-0.060332
Orange,GLN0062,TQ3488069880,51,UMTS,2100,29.6,,65,51.411384,-0.060332
Orange,GLN0064,TQ3252072150,24.8,GSM,1800,31.2,32,,51.432342,-0.093401
Orange,GLN0064,TQ3252072150,24.8,UMTS,2100,29.7,,65,51.432342,-0.093401
Orange,GLN0069,TQ1844085300,29,GSM,1800,31.6,32,,51.55366,-0.291457
Orange,GLN0069,TQ1844085300,29,UMTS,2100,29.9,,65,51.55366,-0.291457
Orange,GLN0074,TQ1948069770,33.4,GSM,1800,29.7,32,,51.41385,-0.281718
Orange,GLN0074,TQ1948069770,33.4,UMTS,2100,29.2,,65,51.41385,-0.281718
Orange,GLN0075,TQ2913083250,33,GSM,1800,29.5,32,,51.53289,-0.138086
Orange,GLN0075,TQ2913083250,33,UMTS,2100,29.2,,65,51.53289,-0.138086
Orange,GLN0077,TQ3775079200,38,GSM,1800,30.2,32,,51.494454,-0.015456
Orange,GLN0077,TQ3775079200,38,UMTS,2100,28.1,,65,51.494454,-0.015456
Orange,GLN0079,TQ1545073730,22.4,GSM,1800,31.9,32,,51.450281,-0.338357
Orange,GLN0079,TQ1545073730,22.4,UMTS,2100,30.9,,65,51.450281,-0.338357
Orange,GLN0080,TQ1693088630,22,GSM,1800,25.3,32,,51.583907,-0.312121
Orange,GLN0080,TQ1693088630,22,UMTS,2100,27.1,,65,51.583907,-0.312121
Orange,GLN0082,TQ0725078450,40.3,GSM,1800,28.6,32,,51.494323,-0.454896
Orange,GLN0082,TQ0725078450,40.3,UMTS,2100,27.7,,65,51.494323,-0.454896
Orange,GLN0083,TQ2167080680,35.8,GSM,1800,31.5,32,,51.511447,-0.246483
Orange,GLN0083,TQ2167080680,35.8,UMTS,2100,30.5,,65,51.511447,-0.246483
